Litho_Facies,Formation,Well Name,Depth,GR,VCL,NPHI,RHOB,DT,FACIES,PHI
0,A,1,3114.893311,52.59550095,0.073340021,0.067100003,2.61529994,60.0625,6,0
0,A,1,3115.032715,55.34049988,0.103861548,0.096699998,2.600500107,62.23429871,6,0
0,A,1,3115.172363,59.56209946,0.150785431,0.125400007,2.572000027,66.8423996,6,0.000127826
0,A,1,3115.312012,65.41809845,0.215800658,0.153699994,2.53399992,71.2507019,6,0.094704367
1,A,1,3115.45166,65.46800232,0.216319546,0.172600001,2.490999937,75.22450256,1,0.114847779
1,A,1,3115.591309,66.81109619,0.231182545,0.190899998,2.450500011,76.62709808,1,0.135422066
1,A,1,3115.730957,65.61329651,0.217881098,0.195899993,2.41899991,77.70570374,1,0.149238244
1,A,1,3115.870361,64.31620026,0.203449607,0.193800002,2.396199942,78.72779846,1,0.158680186
1,A,1,3116.01001,60.85589981,0.165081099,0.194100007,2.385299921,79.71209717,1,0.168286949
1,A,1,3116.149658,59.55889893,0.150784776,0.179199994,2.387900114,79.39289856,1,0.163949922
1,A,1,3116.289307,65.3809967,0.215422571,0.175899997,2.406599999,79.53800201,1,0.146732405
1,A,1,3116.428955,73.77899933,0.308932275,0.178299993,2.448800087,78.87460327,1,0.118070953
1,A,1,3116.568359,89.71589661,0.485863149,0.206,2.515300036,79.68920136,1,0.078661546
1,A,1,3116.708008,100.8955002,0.609986126,0.2095,2.557800055,79.71250153,1,0.048275258
1,A,1,3116.847656,99.95050049,0.599320471,0.207499996,2.562099934,79.57949829,1,0.048294917
1,A,1,3116.987305,94.4937973,0.538679659,0.192499995,2.537100077,79.86849976,1,0.057289764
1,A,1,3117.126953,86.24220276,0.447135061,0.186900005,2.510200024,78.82209778,1,0.078220546
1,A,1,3117.266357,88.63780212,0.47381103,0.185399994,2.499200106,78.97840118,1,0.078621492
1,A,1,3117.406006,89.40139771,0.482273758,0.180299997,2.494100094,79.11460114,1,0.0779569
1,A,1,3117.545654,94.45880127,0.538467705,0.186199993,2.505399942,79.7335968,1,0.068247199
1,A,1,3117.685303,99.09760284,0.589946151,0.192499995,2.532000065,79.70770264,1,0.052757051
1,A,1,3117.824951,95.40609741,0.548902929,0.203899995,2.531699896,79.16419983,1,0.061824638
1,A,1,3117.964355,88.75160217,0.474891871,0.217999995,2.516700029,78.98329926,1,0.093514912
1,A,1,3118.104004,81.33519745,0.392638832,0.212599993,2.495500088,79.11440277,1,0.113131382
1,A,1,3118.243652,83.99700165,0.42228502,0.212799996,2.493299961,80.23229981,1,0.106952444
1,A,1,3118.383301,89.83380127,0.487122029,0.201100007,2.513999939,80.73619843,1,0.076985747
1,A,1,3118.522949,98.20110321,0.580040813,0.211500004,2.529599905,82.03620148,1,0.060957745
1,A,1,3118.662354,100.9960022,0.611102223,0.212699994,2.556099892,82.06420136,1,0.050477225
1,A,1,3118.802002,101.1483002,0.612800002,0.217800006,2.569299936,82.16429901,1,0.051238947
1,A,1,3118.94165,101.1483002,0.612781346,0.224399999,2.564699888,82.70290375,1,0.056326084
1,A,1,3119.081299,99.87729645,0.598514676,0.229000002,2.537800074,81.83470154,1,0.06923645
1,A,1,3119.220947,94.02140045,0.533551574,0.240400001,2.512799978,81.5326004,1,0.099212252
1,A,1,3119.360352,90.70159912,0.496665865,0.224900007,2.503599882,81.60050201,1,0.097699113
0,A,1,3119.5,88.36199951,0.470701963,0.216900006,2.514800072,80.42469788,5,0.094632164
0,A,1,3119.639648,88.49510193,0.472205639,0.197999999,2.52760005,80.85610199,5,0.074932784
0,A,1,3119.779297,88.88690186,0.476533204,0.202999994,2.538000107,80.72039795,5,0.076059431
